Main category;EMIF-AD category;Variable name EMIF-AD;Variable name used;Variable Description ;Unity;Categories;Range or possible values;Units;Visit independent;Specific information for harmonisation;Domain;DVocabulary;Concept Id;Concept Id Link;Unit;Unit Concept Id;Vocabulary;Values;Values Concept Id;Vocabulary;Info;Date
General;;;;;;;;;;;;;;;;;;;;;;
;;;Data_saved;CSV/excel/SPSS/SAS/R/Phyton/other;factor;1 = CSV, 2 = excel, 3 = SPSS, 4 = SAS, 5 = R, 6 = Phyton, 7 = other;"1;7";;Yes;;;;;;;;;;;;;
;;;Format_data;In long or in wide format;factor;1 = long, 0 = wide;;;Yes;;;;;;;;;;;;;
;;;Cohort;Name of cohort;factor;1 = ADC, 2 = LASA, 3 = Maastricht Study, 4 = SMART, 5 = LLS, 6 = Rotterdam Study, 7 = Lifelines, 8 = EMIF twins, 9 = EMIF 90+, 10 = DCS;"0;10";;Yes;;;;;;;;;;;;;
;;ID;ID;Participant ID;Character;;;;Yes;;;;;;;;;;;;;
Demographics;Subject characteristics & demograhics;;;;;;;;;;;;;;;;;;;;;
;Demographics;Birth year;Birth_year;Year of birth ;numeric;;>= 1900;;Yes;;Person;;;;;;;;;;;
;Demographics;Age ;Age;Age at  assessment;numeric;;>= 0;years;No;;Observation;SNOMED;4265453;Athena-4265453;year;9448;UCUM;;;;;
;Demographics;Sex;Sex;Sex;factor;"1= female; 0 = male";0,1;;Yes;;Person;;;;;;;male/female/-;8507/8532/8551;GENDER;;
;Subject characteristics;Education_years;Education_years;Education level in years;numeric;;> = 0;years;Yes;Recode Verhaage score into education in years ('1'=5) ('2'=6) ('3'=8) ('4'=9) ('5'=10) ('6'=13) ('7'=17). CBS categories can also be converted to year;Observation;;2000000001;;year;9448;UCUM;;;;;
;Subject characteristics;;Education_category;Education level categories;factor;"1 = high; 0 = low";0,1;;Yes;"Low: years <  7; High: years >= 7";Observation;SNOMED;4171617;Athena-4171617;;;;low/high;4267416/4328749;SNOMED;;
;Subject characteristics;;Education_category;Education level categories;factor;;;;;Alternatively, include other categories according to availability in cohort;;;;;;;;;;;;
